Source,Target,weight
1,1,11
1,5,1
1,7,6
1,8,15
1,10,24
1,13,1
1,14,2
1,15,8
1,18,7
1,20,48
1,21,7
1,22,4
1,23,75
1,24,1
1,26,8
1,29,1
1,30,14
1,35,16
1,36,23
1,37,4
1,38,5
1,39,4
1,40,10
1,41,2
1,42,4
1,43,2
1,44,1
1,45,5
1,46,7
1,47,2
1,56,1
1,58,34
1,61,9
1,63,12
1,71,3
1,72,9
1,73,3
1,74,5
1,75,6
1,76,2
1,78,1
1,79,8
1,81,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,2
1,91,1
1,92,1
1,258,1
3,20,1
3,35,1
20,1,9
20,3,1
20,7,8
20,8,7
20,9,9
20,21,6
20,23,2
20,24,1
20,26,4
20,35,1
20,36,1
20,40,1
20,41,6
20,43,2
20,46,4
20,47,1
20,58,1
20,64,5
20,72,1
20,78,2
20,79,12
20,82,3
20,83,2
20,88,1
20,90,5
20,100,4
20,104,1
20,105,1
20,109,1
20,118,6
20,120,4
20,131,1
20,167,2
20,208,1
20,210,4
20,273,1
20,280,2
20,281,1
20,282,2
20,283,1
20,284,1
20,285,1
20,287,4
20,288,2
20,289,1
20,290,1
20,291,1
20,292,1
20,293,1
23,1,6
23,5,2
23,7,6
23,8,1
23,9,1
23,10,2
23,13,1
23,14,1
23,18,8
23,20,3
23,22,3
23,26,1
23,33,1
23,39,2
23,40,9
23,42,2
23,56,1
23,63,3
23,64,1
23,72,1
23,74,1
23,75,1
23,87,1
23,90,1
23,92,1
23,100,2
23,101,1
23,115,1
23,118,3
23,147,1
23,161,1
23,274,3
23,275,2
23,276,1
23,277,1
23,279,2
23,294,1
23,295,1
23,296,1
23,297,1
23,298,2
23,299,3
23,300,1
23,301,1
23,302,2
26,1,25
26,3,7
26,7,37
26,8,15
26,9,11
26,15,45
26,18,9
26,19,15
26,20,17
26,21,22
26,23,30
26,36,26
26,40,28
26,46,29
26,47,8
26,58,18
26,62,31
26,63,15
26,64,22
26,79,9
26,90,14
26,104,11
26,106,11
26,115,19
26,131,12
26,208,5
26,293,8
26,305,10
26,306,29
27,1,14
27,2,1
27,3,1
27,4,1
27,5,1
27,6,4
27,7,1
27,8,2
27,9,2
27,10,4
27,13,1
27,14,4
27,15,5
27,16,3
27,17,4
27,18,3
27,19,1
27,20,2
27,21,1
27,22,2
27,23,2
27,24,2
27,25,2
27,26,1
27,28,1
27,29,1
27,30,1
27,31,1
27,33,1
27,34,1
27,58,2
27,80,1
27,82,2
27,92,1
27,109,1
27,125,6
27,127,7
27,129,2
27,130,9
27,132,8
27,134,4
27,135,3
27,139,3
27,145,4
27,146,4
27,156,5
27,157,1
27,182,3
27,186,1
27,215,2
27,217,3
27,219,1
27,220,1
27,226,1
27,227,2
27,228,2
27,230,5
27,235,5
27,236,7
27,237,1
27,241,12
27,254,1
27,259,1
27,262,7
27,263,1
27,264,1
27,265,1
27,266,1
27,267,1
27,268,1
27,269,2
27,270,1
27,271,3
27,272,1
47,26,1
51,1,17
51,4,1
51,6,1
51,7,13
51,8,4
51,10,9
51,14,6
51,15,11
51,16,1
51,18,5
51,19,5
51,20,5
51,21,7
51,22,4
51,23,14
51,26,4
51,29,1
51,32,1
51,35,4
51,38,1
51,44,5
51,45,1
51,47,4
51,52,1
51,56,14
51,58,1
51,60,2
51,61,1
51,62,20
51,63,11
51,64,3
51,67,1
51,73,3
51,79,1
51,84,1
51,90,1
51,93,1
51,94,3
51,95,2
51,96,3
51,97,3
51,98,12
51,99,1
51,100,6
51,101,4
51,102,3
51,103,2
51,104,2
51,105,3
51,106,3
51,107,1
51,108,1
51,109,5
51,110,1
51,111,1
51,112,1
51,113,1
51,114,2
51,115,2
51,116,1
51,118,3
51,119,2
51,120,1
51,121,1
63,102,1
147,27,11
147,241,1
